,name,areal,regions,pochvs,pharmacop,redbook,req,sowing,collect,him_sostav,med_list
0,Аденостилес Ромболистный,Аденостилес ромболистный – эндемик Кавказа.  Согласно классификации А,Северная Осетия-Алания,"дерновые, высокопоясные",False,False,7 т.,,,"Все части платифиллинсодержащей формы (хеморасы) ра стения содержат алкалоиды  (платифиллин  и сенецифиллин,  большей  частью в форме  Nоксидов)","Платифиллин (таблетки, раствор  для подкожного  введения)  – лекарственный препарат, содержащий одноименный алкалоид, полученный из травы или  корневищ крестовника, обладает выраженным ганглиоблокирующим действием, оказывает отчетливый спазмолитический (миотропный) папавериноподобный эффект; успокаивающе действует на центральную нервную систему, несколько угнетает функции сосудодвигательного  центра.  Платифиллин применяют при язвенной болезни желудка и двенадцатиперстной кишки, холециститах, дискинезии желчевыводящих путей; кишечных, печеночных и почечных коликах  и др"
1,Аир Обыкновенный,"вида дизъюнктивный, состоит из трех фрагментов, два из которых расп оложены в России.  В Европейской России ареал аира занимает незначительную часть территории региона","Амурская область, Владимирская область, Карелия, Приморский край, Саха (Якутия), Сахалинская область, Северная Осетия-Алания, Хабаровский край","болотные, полупустынные, аллювиальные",True,False,120 т.,июнь,сентябрь,"В корневищах содержится эфирное масло (до 6 %), в  составе которого идентифицированы бициклические терпены: пинен (1 %), камфора  (8,7 %), борнеол,  камфен  (7 %); сесквитерпены:  23  элемен, каламен (10 %), акорон, изоакорон, акоренон; эвгенол, метилэвгенол, азарон, азарилальдегид, кариофиллен, проазулен, 1β,4β,7αтригидроксиэудесмин, (+)эудесмин, (+)магнолин и βситостерол и др","Препараты  из корневищ аира  применяются  для лечения  хронических  гастритов, язвенной болезни желудка и двенадцатиперстной кишки, особенно в случаях с пониженной кислотностью желудочного  сока;  при ахилии,  диарее  различного  происхождения, при холециститах, гепатитах различной этиологии,  мочекаменной  болезни.   Порошок  корневищ аира  входит  в состав  комплексных  препаратов  Викал ин и Викаир, применяемых в терапии язвенной болезни желудка  и двенадцатиперстной  кишки"
2,Алоэ Древовидное,Родина  алоэ — Южная  Африка  и некоторые острова у восточного побережья Африки.  В Америке и на Антильских островах алоэ начало культивироваться в конце XVI в,"Белгородская область, Самарская область",черные,True,False,25  т.,октябрь,октябрь,"В соке побегов содержатся антрахиноны  (эмодин  (1,66  %), алоээмодин,  алоин,  алоэтиловая кислота, антранол, барбалоин, изобарбалоин, алоэнин А и В);  кумарины (эскулетин, умбеллиферон); органические  кислоты  (2038 %), среди  преобладающих идентифицирована яб лочная кислота; фенолкарбоновые кислоты  (протокатеховая,  хлорогеновая,  кофейная, nкумаровая и феруловая кислоты); жирные кислоты (каприновая, лауриновая, пальмитиновая, олеиновая, линолевая);  углеводы  и полисахариды  (маннан,  ацеманнан, глюкогалактоман нан, галактан, арабиногалактан, пектиновые вещества и др","Из свежих листьев  алоэ выпускают препараты: алоэ сок, для приема внутрь; алоэ линимент, для наружного применения; алоэ экстракт жидкий, раствор для подкожного введения; алоэ сироп с железом, для приема внутрь гомеопатический слабительный препарат – Алоэ ДН (ректальные суппозитории), алоэплюс гранулы гомеопатические.  Экстракт  Алоэ  Вера  входит  в состав  косметических  средств в качестве транспортного средства, обеспечивающего легкое проникнов ение в глубокие слои кожи других компонентов,  а также  в фиксирующий  крем  для зубных протезов Протефикс Алоэ Вера"
3,Алтей Лекарственный,"Алтей лекарственный имеет дизъюнктивный ареал,  состоящий  из двух частей,  европейской  и сибирской.  Он растет в степной и лесостепной зонах европейской  части  России,  на юге Западной  Сибири, в некоторых районах Кавказа","Алтай, Брянская область, Кемеровская область, Северная Осетия-Алания","полупустынные, красные",True,False,4 т.,апрель,октябрь,"В корнях содержатся слизи (около  35 %), представленной  пентозанами  и гексозанами, в составе которых идентифицированы галактоза, арабиноза,  декстроза;  пектин  (1116 %); крахмал  (37 %); аминокислоты;  бетаин  (4 %), жирное  масло  (1,7 %); каротин;  фитостерины; минеральные вещества","Чаще  всего  лекарственные препараты на основе алтея используют как смягчающие, противовоспалительные и отхаркивающие средства при острых и хронических заболеваниях дыхательных  путей  и глотки,  сопровождающихся  трудным откашливанием  мокроты,  при воспалении  миндали н и мягкого нёба, трахеита.  Их применяют в качестве обволакивающих средств при заболеваниях желудочнокишечного тракта: эзофагитах, гастритах, язвенной болезни желудка и двенадцатиперстной кишки, при энтероколитах"
4,Амми Большая,Амми большая в дикорастущем виде растет  в Северной  Африке  и на европейском  побережье Средиземного моря.  В России амми успешно введена  в культуру в различных регионах – от Краснодарского края  до Поволжья,"Краснодарский край, Крым, Северная Осетия-Алания","дерновые, лесные, черноземы, полупустынные, пустынные, высокопоясные",True,False,5 т.,,,"В плодах содержатся кумарины (бергаптен,  ксантотоксин, изопимпинеллин, умбеллипренин, метоксален, 8метоксипсорален, императорин,  изоимператорин,  гераклин,  мажудин,  5метоксипсорален, аллоимператорин, аммирин, аммажин, 8метоксипсорален, мармезин, геракленин, оксиписеданин,  буленол,  келлин,  виснагин,  6гидрокси7метокси4метилкумарин,  6гидрокси7метоксикумарин,  6гидрокси3(2гидроксипропил)7метокси4метилкумарин,  5изобутилкумарин6Сглюкозид);  стероиды (βситостерол); флавоноиды (кверцетин; кемпферол); фенолы (резорцинол, салициловая кислота, ванилиновая кислота, гидрохинон, катехол); фуранохинолиновые алкалоиды (4гидрокси7гидрокси8метоксифурохинолин,  4гидрокси7гидрокси8пренилоксифурохинолин; жирные кислоты (миристиновая, пальмитиновая, олеиновая, линолевая, стеариновая кислоты), сесквитерпены  (кариофиллен; αгумулен;  βгумулен)","Аммифурин – отечественный природный фотосенсибилизатор, разрешен для применения в медицинской практике в качестве фотосенсиб илизирующего  средства  у взрослых  при лечении  ряда  хронических  дерматозов,  включая  очаговые и распространенные формы псориаза, витилиго, гнездной и тотальной плешивости.  Аммифурин назначают внутрь  и/или  наружно  в сочетании  с ультрафиолетовым (УФ)  облуче нием"
5,Амми Зубная,"Средиземноморское  растение,  произрастающее  в Южной  Европе,  Передней  Азии,  Северной  и СевероЗападной  Африке.   Распространено  на Кавказе","Северная Осетия-Алания, Ставропольский край","красные, засоленные",True,False,,март,ноябрь,"В плодах  содержатся  производные фурохромона (келлин (около 1 %), виснагин, келлогликозид);  дигидропиранокумарины  (виснадин  и самидин); пирокумарины (виснадин и дигидросамидин); флавоноиды; эфирное масло (до 0,2 %), жирное масло (до 20 %)","Наиболее широко использовался препарат  Келлин, который назначали при хроническом кардиосклерозе, бронхиальной астме, спазмах  кишечника  и желудка.   В настоящее  время  препарат  Келлин  как самостоятельное  лекарственное  средство не применяется;  используется  главным  образом в составе комбинирован ного препарата"
6,Анис Обыкновенный,"Родина аниса обыкновенного точно не известна, считается что это Малая Азия, Египет и страны Восточного Средиземноморья.  В этих регионах он встречается  в диком  виде",,"полупустынные, красные",True,False,30 т.,,,"В плодах содержится эфирное масло (до 6,0 %), в  составе которого идентифицированы трансанетол (8090 %), который может образовывать производное стильбена – дианетол; метилхавикол  (10 %), ацетальдегид,  анисовый  спирт,  анисовый  кетон,  анисовый  альдегид,  анисовая  кислот а, dфелландрен,  пинен,  дипентен,  камфен,  пметоксипропенилбензол, изоэстрагол, αгимахален, γгимахален, эвгенол, (E) –метилевгенол, αкупарен, βбисаболен, псевдоизоевгенил2метилбутирата, транспсевдоизоэвгенил2метилбутират, цисанетол, карвон,  βкариофиллен,  дигидрокарвилацетат,  лимонен,  неофитадиен); жирное масло (до 30 %), в составе которого идентифицированы пальмитиновая, петрозелиновая, цисвакценовая  и олеиновая  кислоты;  алкилглюкозиды;  глюциды; флавоноиды;  белки  (18 %); липиды  (811 %); углеводы  (4 %);  кумарины (скополетин, умбелипренин, бергаптен); полиены и полиацетилены; ароматические гликозиды;  алкилглюкозиды;  флавоноиды  (кверцетин3глюкуронид, рутин, лютеолин7глюкозид, изоориентин, изовитексин, апигенина7глюкози д), сахара (глюкоза, арабиноза,  галактуроновая  кислота,  галактоза,  рамноза, ксилоза);  аминокислоты  (аспарагин,  аланин,  валин,  глицин, аргинин, тирозин, серин), ванилиновая, пгидроксибензойная,  коричная  кислоты,  ванилин,  сирингальдегид, пгидроксибен зальдегид","Эфирное масло плодов аниса входит в состав Грудного эликсира, который назначают в качестве отхаркивающего средства при инфекционновоспалительных заболеваниях дыхательных путей,  сопровождающихся  кашлем  с трудноотделяемой мокротой (в т. ч"
7,Аралия Высокая,Apeал.  Аралия высокая — представитель маньчжурской флоры,"Амурская область, Еврейская автономная область, Приморский край, Саха (Якутия), Сахалинская область, Северная Осетия-Алания, Хабаровский край","лесные, высокопоясные",True,False,300  т.,,,"В корневищах  и корнях  содержатся  тритерпе новые  сапонины  (аралозиды  А, В и С, тритерпеновый  гликозид  даммараного  типа  12оксо3β, 6α, 20 (S)тригидроксидаммар24ен3OβDглюкопранозил (1 → 2) βDглюкопиранозид,  гинсенозиды)","Настойку  из корней  аралии применяют как стимулятор центральной нервной системы при гипотонии, астении, депрессивных состояниях,  постгриппозных  арахноидитах,  при импотенции на фоне  неврастении  и психастении,  а также  в качестве адаптогена  при оздоровлении  часто  болеющих  детей и при заболеваниях слизистой оболочки полости рта.  Разработан  препарат  Сапарал  в таблетках  по 0,05 г (сумма аралозидов из корней аралии), применяется в качестве тонизирующего средства при астенических и депрессивных  состояниях,  при органических  поражениях и функциональных  расстройствах  нервной  системы,  а также  для профилактики  и лечения  умственного  и физического переутомления"
8,Арника Горная,"Арника  горная  имеет  европейский  тип ареала.  Распространена в южной части Скандинавского полуострова,  Средней  и Атлантической  Европе,  Средиземноморье (в его северной части), восточной Евр опе (восточная  граница  ареала  находится  в верхнем  течении Днепра),  преимущественно  в горах",Северная Осетия-Алания,"дерновые, лесные, высокопоясные",True,False,,,,"В траве содержа тся тритерпеноиды (арнидендиол, фарадиол, арнидиол, тараксастерол, ψтараксастерол, 4αметилстигмастадиен7Z,24(28)ол3β); стероиды (βситостерин); фенолкарбоновые кислоты и их производные (кофейная, хлорогеновая, эфиры nкумаровой кислоты","Настойку из корневищ и корней арники горной назначают внутрь при атеросклерозе, миокардитах и сердечных ангиоспазмах.  Настойку из цветков арники использую т в качестве кровоостанавливающего средства в акушерской и гинекологической практике при недостаточной инволюции матки  в послеродовом  периоде,  а также  при воспалительных заболеваниях мочеполовой системы и при внутренних  кровотечениях;  в стоматологиче ской  практике  – как противовоспалительное  и кровоостанавливающее средство"
9,Арника Шамиссо,Родиной  A.  foliosa  является  Северная  Америка,Северная Осетия-Алания,"дерновые, лесные, черноземы, высокопоясные",True,False,5 т.,,,"В цветках содержатся флавоноидные  гликозиды  (сколимозид,  изокверцитрин,  44  цинарозид, космосиин, астрагалин) ; фенолкарбоновые кислоты (кофейная, хлорогеновая кислоты) и их сложные эфиры (цинарин) ; конденсированные дубильные вещества; углеводы (монои полисахариды); азотсодержащие соединения (белки, аминокислоты, холин); эфир ное масло ; каротиноиды ; тритерпеноиды ; В листьях идентифицированы сесквитерпеновые лактоны ряда геленалина (арнифолин, арниколид  Г и 6дезоксишамиссоналид)  и оксикумарины  (скополетин, умбеллиферон)","Номенклатура препаратов  на основе  растения  рода арника  представлена в основном гомеопатическими лекарственными средствами, например, Арника (мазь гомеопатическая для наружного применения).   В ФГБНУ  ВИЛАР  на основе  сухого  экстракта  травы арники облиственной разработаны аллопатические лекарственные формы в виде суппозиториев ректальных, геля 1,0 % и крема 1,5 %, предназначенных для местного  и наружного  консервативного  лечения  воспалительных заболеваний различного генеза"
